Date,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
"2025-07-24T13:29:18.835Z","Included","claude-4-sonnet-thinking","No","62355","82","335077","5535","403049","0.42"
"2025-07-24T13:23:20.119Z","Included","claude-4-sonnet-thinking","No","1238","68","51018","1910","54234","0.05"
"2025-07-24T13:21:38.521Z","Included","claude-4-sonnet-thinking","No","973","8","50045","1413","52439","0.04"
"2025-07-24T13:17:14.187Z","Included","claude-4-sonnet-thinking","No","43400","9","6645","1532","51586","0.19"
"2025-07-24T13:10:56.632Z","Included","claude-4-sonnet-thinking","No","54848","81","313889","4998","373816","0.38"
"2025-07-23T11:28:09.666Z","Included","o3","No","0","19930","207548","1011","228489","0.15"
"2025-07-23T11:23:08.592Z","Included","o3","No","0","143718","811355","3665","958738","0.72"
"2025-07-21T17:10:14.143Z","Included","o3","No","0","2287","198072","424","200783","0.11"
"2025-07-21T17:07:51.601Z","Included","o3","No","0","2283","196152","1463","199898","0.11"
"2025-07-21T17:04:29.526Z","Included","o3","No","0","9916","87580","728","98224","0.07"
"2025-07-21T16:58:58.492Z","Included","o3","No","0","5807","565672","2867","574346","0.32"
"2025-07-21T16:56:11.987Z","Included","o3","No","0","4246","87580","1018","92844","0.06"
"2025-07-21T16:50:28.532Z","Included","o3","No","0","4965","175288","1593","181846","0.11"
"2025-07-21T16:49:27.513Z","Included","o3","No","0","1850","86300","990","89140","0.05"
"2025-07-21T16:45:15.920Z","Included","o3","No","0","8795","254292","2061","265148","0.16"
"2025-07-21T16:42:30.703Z","Included","o3","No","0","1342","82716","735","84793","0.05"
"2025-07-21T16:38:44.897Z","Included","o3","No","0","6924","243924","1271","252119","0.15"
"2025-07-21T16:35:01.857Z","Included","o3","No","0","75889","4764","989","81642","0.16"
"2025-07-21T16:31:27.096Z","Included","o3","No","0","1209","159032","842","161083","0.09"
"2025-07-21T16:27:46.778Z","Included","o3","No","0","1084","77852","1520","80456","0.05"
"2025-07-21T16:25:48.675Z","Included","o3","No","0","639","77340","912","78891","0.05"
"2025-07-21T16:22:57.396Z","Included","o3","No","0","3021","74396","527","77944","0.05"
"2025-07-21T16:22:17.250Z","Included","auto","No","0","1503","0","431","1934","0.01"
"2025-07-21T16:20:18.188Z","Included","o3","No","0","4292","302704","2076","309072","0.18"
"2025-07-21T16:18:06.024Z","Included","o3","No","0","2206","145592","937","148735","0.08"
"2025-07-21T16:14:25.935Z","Included","o3","No","0","11844","133304","671","145819","0.10"
"2025-07-21T16:09:25.846Z","Included","o3","No","0","67821","4764","860","73445","0.14"
"2025-07-21T16:06:49.580Z","Included","o3","No","0","3345","140254","1243","144842","0.09"
"2025-07-21T15:57:34.226Z","Included","o3","No","0","3941","135262","1638","140841","0.09"
"2025-07-21T15:54:46.065Z","Included","o3","No","0","2257","197901","1091","201249","0.11"
"2025-07-21T15:49:08.892Z","Included","o3","No","0","1194","64175","933","66302","0.04"
"2025-07-21T15:40:02.189Z","Included","o3","No","0","1810","192909","844","195563","0.11"
"2025-07-21T15:38:20.007Z","Included","o3","No","0","59541","132621","845","193007","0.19"
"2025-07-21T15:33:26.368Z","Included","o3","No","0","55180","130573","650","186403","0.18"
"2025-07-21T15:16:18.130Z","Included","o3","No","0","4171","295275","2986","302432","0.18"
"2025-07-21T15:15:06.497Z","Included","o3","No","0","10835","102494","905","114234","0.08"
"2025-07-21T15:07:20.515Z","Included","o3","No","0","50315","255386","5524","311225","0.27"
"2025-07-21T14:35:29.995Z","Included","o3","No","0","43131","269688","4592","317411","0.26"
"2025-07-21T13:16:17.000Z","Included","o3","No","0","139848","1967","438","142253","0.28"
"2025-07-21T13:11:26.376Z","Included","o3","No","0","811","140463","384","141658","0.07"
"2025-07-21T13:09:45.542Z","Included","o3","No","0","138537","1967","670","141174","0.28"
"2025-07-21T13:03:59.076Z","Included","o3","No","0","140134","0","610","140744","0.29"
"2025-07-21T12:55:55.933Z","Included","o3","No","0","139521","0","533","140054","0.28"
"2025-07-21T12:42:32.248Z","Included","o3","No","0","274397","1839","409","276645","0.55"
"2025-07-21T12:39:00.261Z","Included","o3","No","0","993","135087","480","136560","0.07"
"2025-07-21T12:32:58.345Z","Included","o3","No","0","133333","1839","815","135987","0.27"
"2025-07-21T12:29:06.996Z","Included","o3","No","0","134587","0","968","135555","0.28"
"2025-07-21T12:22:53.921Z","Included","o3","No","0","134056","0","514","134570","0.27"
"2025-07-21T12:18:23.152Z","Included","o3","No","0","133738","0","293","134031","0.27"
"2025-07-21T12:16:43.082Z","Included","claude-3.7-sonnet","No","0","1352","0","27","1379","0.004"
"2025-07-21T12:10:59.552Z","Included","o3","No","0","132481","0","782","133263","0.27"
"2025-07-21T11:58:19.204Z","Included","o3","No","0","259907","0","942","260849","0.53"
"2025-07-21T11:48:51.402Z","Included","o3","No","0","125099","2095","627","127821","0.26"
"2025-07-21T11:37:26.888Z","Included","o3","No","0","252034","0","289","252323","0.51"
"2025-07-21T11:24:24.190Z","Included","o3","No","0","124373","0","1036","125409","0.26"
"2025-07-21T11:19:37.148Z","Included","o3","No","0","123638","0","420","124058","0.25"
"2025-07-21T11:14:14.300Z","Included","o3","No","0","120582","2095","1023","123700","0.25"
"2025-07-18T16:00:15.932Z","Included","o3","No","0","122709","4636","229","127574","0.25"
"2025-07-18T15:59:21.651Z","Included","o3","No","0","2039","124700","463","127202","0.07"
"2025-07-18T15:57:54.376Z","Included","o3","No","0","2217","124188","384","126789","0.07"
"2025-07-18T15:56:18.109Z","Included","o3","No","0","1473","124700","337","126510","0.07"
"2025-07-18T15:54:10.739Z","Included","o3","No","0","4717","120988","287","125992","0.07"
"2025-07-18T15:52:13.481Z","Included","o3","No","0","9652","241080","1023","251755","0.15"
"2025-07-18T15:48:47.140Z","Included","o3","No","0","4228","120092","565","124885","0.07"
"2025-07-18T15:47:10.757Z","Included","o3","No","0","122445","245332","1432","369209","0.38"
"2025-07-18T15:46:29.279Z","Included","o3","No","0","1063","119836","371","121270","0.07"
"2025-07-18T15:44:31.588Z","Included","o3","No","0","231655","9272","493","241420","0.47"
"2025-07-18T15:42:38.225Z","Included","o3","No","0","115357","4636","555","120548","0.24"
"2025-07-18T15:41:12.877Z","Included","o3","No","0","229568","9272","484","239324","0.47"
"2025-07-18T15:38:22.132Z","Included","o3","No","0","113826","4636","357","118819","0.23"
"2025-07-18T15:33:40.515Z","Included","o3","No","0","112784","4636","852","118272","0.23"
"2025-07-18T15:30:09.031Z","Included","o3","No","0","111495","4636","871","117002","0.23"
"2025-07-18T15:24:43.084Z","Included","o3","No","0","110003","4636","1118","115757","0.23"
"2025-07-18T15:22:32.903Z","Included","o3","No","0","109631","4636","362","114629","0.22"
"2025-07-18T15:19:49.929Z","Included","o3","No","0","109458","4636","139","114233","0.22"
"2025-07-18T15:17:11.790Z","Included","o3","No","0","108615","4636","671","113922","0.22"
"2025-07-18T15:13:57.679Z","Included","o3","No","0","108152","4636","452","113240","0.22"
"2025-07-18T15:07:01.014Z","Included","o3","No","0","330093","0","952","331045","0.67"
"2025-07-18T15:04:16.167Z","Included","o3","No","0","108556","0","738","109294","0.22"
"2025-07-18T15:01:21.130Z","Included","o3","No","0","214941","0","667","215608","0.44"
"2025-07-18T14:58:47.300Z","Included","o3","No","0","104553","1967","587","107107","0.21"
"2025-07-18T14:55:24.797Z","Included","o3","No","0","107888","209886","1299","319073","0.33"
"2025-07-18T14:53:13.978Z","Included","o3","No","0","102935","2095","490","105520","0.21"
"2025-07-18T14:50:32.306Z","Included","o3","No","0","103995","105310","323","209628","0.26"
"2025-07-18T14:48:30.530Z","Included","o3","No","0","101928","105438","555","207921","0.26"
"2025-07-18T14:44:57.609Z","Included","o3","No","0","102833","0","371","103204","0.21"
"2025-07-18T14:41:27.503Z","Included","o3","No","0","106410","301325","636","408371","0.37"
"2025-07-18T14:37:29.330Z","Included","o3","No","0","100634","0","494","101128","0.21"
"2025-07-18T14:35:57.287Z","Included","o3","No","0","202566","98351","571","301488","0.46"
"2025-07-18T14:34:49.162Z","Included","o3","No","0","100809","197133","966","298908","0.31"
"2025-07-18T14:32:20.621Z","Included","o3","No","0","97707","292796","1585","392088","0.35"
"2025-07-18T14:31:45.228Z","Included","o3","No","0","999","95023","668","96690","0.05"
"2025-07-18T14:30:16.851Z","Included","o3","No","0","568","94511","1391","96470","0.06"
"2025-07-18T14:27:41.609Z","Included","o3","No","0","2975","91567","205","94747","0.05"
"2025-07-18T14:25:45.535Z","Included","o3","No","0","2306","369596","1952","373854","0.21"
"2025-07-18T14:24:48.737Z","Errored, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-18T14:23:22.524Z","Included","o3","No","0","533","90671","1284","92488","0.06"
"2025-07-18T14:21:43.531Z","Included","o3","No","0","1801","88879","654","91334","0.05"
"2025-07-18T14:20:26.457Z","Aborted, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-18T14:18:19.605Z","Included","o3","No","0","1930","177886","1665","181481","0.11"
"2025-07-18T14:12:55.880Z","Included","o3","No","0","449","87855","369","88673","0.05"
"2025-07-18T14:11:27.861Z","Included","o3","No","0","544","87343","352","88239","0.05"
"2025-07-18T14:10:19.418Z","Included","o3","No","0","2420","85039","372","87831","0.05"
"2025-07-18T14:07:59.150Z","Included","o3","No","0","2490","341948","1023","345461","0.18"
"2025-07-18T14:07:27.656Z","Included","o3","No","0","577","84143","417","85137","0.05"
"2025-07-18T14:06:36.984Z","Included","o3","No","0","82416","86494","295","169205","0.21"
"2025-07-18T13:32:10.269Z","Included","o3","No","0","11399","322876","553","334828","0.19"
"2025-07-18T13:29:46.220Z","Included","o3","No","0","7968","487066","2148","497182","0.28"
"2025-07-18T13:27:06.536Z","Included","o3","No","0","18862","1152193","1700","1172755","0.63"
"2025-07-18T13:21:46.777Z","Included","o3","No","0","77642","735237","1539","814418","0.54"
"2025-07-18T13:20:13.514Z","Included","o3","No","0","3506","139230","357","143093","0.08"
"2025-07-18T13:15:53.843Z","Included","o3","No","0","5194","416410","2600","424204","0.24"
"2025-07-18T13:09:50.165Z","Included","o3","No","0","5792","327915","456","334163","0.18"
"2025-07-18T13:07:14.326Z","Included","o3","No","0","12733","115422","2074","130229","0.10"
"2025-07-18T12:58:01.866Z","Included","o3","No","0","81279","976031","8286","1065596","0.72"
"2025-07-18T12:51:53.368Z","Included","o3","No","0","17028","448598","5705","471331","0.30"
"2025-07-18T12:49:37.661Z","Included","o3","No","0","36600","38750","2136","77486","0.11"
"2025-07-18T12:43:31.806Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:40:21.274Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:36:51.503Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:34:37.090Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:33:20.371Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:30:36.306Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:28:14.426Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:24:37.589Z","Included","auto","No","0","93120","2816","449","96385","0.19"
"2025-07-18T12:20:21.039Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:18:29.073Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:14:08.232Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:13:49.081Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:09:19.971Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-07-18T12:02:37.984Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:56:41.437Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:55:14.693Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:52:07.178Z","Included","auto","No","0","90647","2816","463","93926","0.19"
"2025-07-18T11:51:04.996Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:49:34.706Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:48:52.803Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:48:34.470Z","Errored, Not Charged","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:46:45.394Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:45:29.141Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:44:26.428Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:42:45.711Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:40:23.287Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:39:16.538Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:37:41.499Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:36:59.431Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:34:49.432Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:34:08.199Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:28:39.202Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-18T11:26:54.742Z","Included","auto","No","0","25116","0","570","25686","0.01"
"2025-07-18T11:24:37.081Z","Included","auto","No","0","0","0","0","0","0.00"
"2025-07-17T16:55:23.554Z","Included","o3","No","0","1334","203832","394","205560","0.11"
"2025-07-17T16:52:59.219Z","Included","o3","No","0","157","101404","787","102348","0.06"
"2025-07-17T16:52:46.475Z","Errored, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-17T16:40:19.424Z","Included","o3","No","0","3060","198328","2623","204011","0.13"
"2025-07-17T16:38:09.000Z","Included","o3","No","0","1864","96412","1138","99414","0.06"
"2025-07-17T16:36:20.652Z","Included","o3","No","0","97842","97948","2403","198193","0.26"
"2025-07-17T16:34:22.566Z","Included","o3","No","0","6975","184926","2272","194173","0.12"
"2025-07-17T16:32:02.479Z","Included","o3","No","0","7461","270477","1271","279209","0.16"
"2025-07-17T16:29:39.502Z","Included","o3","No","0","2027","174430","1750","178207","0.11"
"2025-07-17T16:28:35.153Z","Errored, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-17T16:25:32.284Z","Included","o3","No","0","38781","268395","2211","309387","0.23"
"2025-07-17T16:24:32.788Z","Included","o3","No","0","3109","94942","1793","99844","0.07"
"2025-07-17T16:23:22.674Z","Included","o3","No","0","1867","140301","1771","143939","0.09"
"2025-07-17T16:19:53.436Z","Included","o3","No","0","1778","90334","516","92628","0.05"
"2025-07-17T16:19:45.052Z","Errored, Not Charged","claude-3.7-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-07-17T16:19:32.634Z","Errored, Not Charged","claude-4-sonnet-thinking","No","0","0","0","0","0","0.00"
"2025-07-17T16:17:50.015Z","Included","o3","No","0","2233","89694","2583","94510","0.07"
"2025-07-17T16:14:21.071Z","Included","o3","No","0","3012","40495","1831","45338","0.04"
"2025-07-17T16:09:52.677Z","Included","o3","No","0","864","39727","873","41464","0.03"
"2025-07-17T16:07:36.821Z","Included","o3","No","0","814","38959","855","40628","0.03"
"2025-07-17T16:03:45.361Z","Included","o3","No","0","1230","37807","2764","41801","0.04"
"2025-07-17T15:59:45.313Z","Included","o3","No","0","39592","193131","1922","234645","0.19"
"2025-07-17T15:42:30.408Z","Included","o3","No","0","35587","41182","3229","79998","0.12"
"2025-07-17T11:39:16.995Z","Included","o3","No","0","1188","113886","1227","116301","0.07"
"2025-07-17T11:37:25.727Z","Errored, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-17T11:12:24.918Z","Included","o3","No","0","982","112094","891","113967","0.07"
"2025-07-17T11:08:52.354Z","Included","o3","No","0","1970","110046","883","112899","0.07"
"2025-07-17T10:58:07.318Z","Included","o3","No","0","53230","56926","910","111066","0.14"
"2025-07-17T10:43:26.334Z","Included","o3","No","0","996","106974","976","108946","0.06"
"2025-07-17T10:39:14.663Z","Included","o3","No","0","1335","51759","593","53687","0.03"
"2025-07-17T10:38:00.499Z","Included","o3","No","0","2344","103518","1851","107713","0.07"
"2025-07-17T10:28:12.904Z","Included","o3","No","0","1253","101598","1209","104060","0.06"
"2025-07-17T10:25:38.694Z","Included","o3","No","0","1503","48815","1117","51435","0.04"
"2025-07-17T10:17:17.286Z","Included","o3","No","0","48017","51422","1241","100680","0.13"
"2025-07-16T16:50:48.780Z","Included","o3","No","0","1396","93662","1321","96379","0.06"
"2025-07-16T16:48:37.978Z","Included","o3","No","0","1771","91230","769","93770","0.06"
"2025-07-16T16:43:57.426Z","Included","o3","No","0","1751","92126","3991","97868","0.08"
"2025-07-16T16:38:35.351Z","Included","o3","No","0","1475","87646","706","89827","0.05"
"2025-07-16T16:36:12.140Z","Included","o3","No","0","1291","87390","2306","90987","0.06"
"2025-07-16T16:33:07.581Z","Included","o3","No","0","1704","84446","1110","87260","0.05"
"2025-07-16T16:21:51.063Z","Included","o3","No","0","39879","44382","1317","85578","0.11"
"2025-07-16T15:18:49.888Z","Included","o3","No","0","22699","143292","4398","170389","0.15"
"2025-07-16T15:15:33.702Z","Included","o3","No","0","12740","62430","1596","76766","0.07"
"2025-07-16T15:12:27.003Z","Included","o3","No","0","75607","345908","2801","424316","0.35"
"2025-07-16T15:09:57.461Z","Included","o3","No","0","37665","99900","3323","140888","0.15"
"2025-07-16T15:09:04.461Z","Aborted, Not Charged","o3","No","0","0","0","0","0","0.00"
"2025-07-16T15:05:19.406Z","Included","o3","No","0","2842","187661","1276","191779","0.11"
"2025-07-16T15:02:02.051Z","Included","o3","No","0","7765","241852","1838","251455","0.15"
"2025-07-16T14:58:20.788Z","Included","o3","No","0","7800","641541","3205","652546","0.36"
"2025-07-16T14:55:15.394Z","Included","o3","No","0","4118","212796","963","217877","0.12"
